Project Sample ID,Museum Accession,Institution,Species,Library Preparation,Decimal Latitude,Decimal Longitude,State
INBU01,B-14386,LSUMZ,Passerina cyanea,,29.826422,-93.142377,Louisiana
INBU02,B-19243,LSUMZ,Passerina cyanea,,29.815842,-93.149602,Louisiana
INBU03,B-36176,LSUMZ,Passerina cyanea,,31.463833,-92.366333,Louisiana
INBU04,B-36177,LSUMZ,Passerina cyanea,,31.463833,-92.366333,Louisiana
INBU05,B-38697,LSUMZ,Passerina cyanea,,31.233,-92.611,Louisiana
INBU06,B-38698,LSUMZ,Passerina cyanea,,31.233,-92.611,Louisiana
INBU07,B-38716,LSUMZ,Passerina cyanea,,31.017222,-92.621417,Louisiana
INBU08,B-38717,LSUMZ,Passerina cyanea,,31.57583333,-92.5075,Louisiana
INBU09,B-38762,LSUMZ,Passerina cyanea,,31.017222,-92.608056,Louisiana
INBU10,B-38763,LSUMZ,Passerina cyanea,,31.017222,-92.608056,Louisiana
INBU11,51108,CUMV,Passerina cyanea,,42.378955,-76.499779,New York
INBU12,52249,CUMV,Passerina cyanea,,42.377454,-76.618732,New York
INBU13,52024,CUMV,Passerina cyanea,,42.412074,-76.380306,New York
INBU14,52860,CUMV,Passerina cyanea,,42.408514,-76.398652,New York
INBU15,53222,CUMV,Passerina cyanea,,42.455113,-76.396372,New York
INBU16,54251,CUMV,Passerina cyanea,,42.423899,-76.464957,New York
INBU17,54397,CUMV,Passerina cyanea,,42.3784,-76.2954,New York
INBU18,55233,CUMV,Passerina cyanea,,42.284381,-76.657503,New York
INBU19,56060,CUMV,Passerina cyanea,,,,New York
INBU20,59389,CUMV,Passerina cyanea,,,,New York
LAZB01,116654,UWBM,Passerina amoena,,36.185964,-115.747725,Nevada
LAZB02,124298,UWBM,Passerina amoena,,39.472422,-119.952749,Nevada
LAZB03,116649,UWBM,Passerina amoena,,36.185964,-115.747725,Nevada
LAZB04,116485,UWBM,Passerina amoena,,36.705591,-114.060987,Nevada
LAZB05,116480,UWBM,Passerina amoena,,36.705591,-114.060987,Nevada
LAZB06,111588,UWBM,Passerina amoena,,36.383333,-115.75,Nevada
LAZB07,106726,UWBM,Passerina amoena,,36.383333,-115.75,Nevada
LAZB08,106725,UWBM,Passerina amoena,,36.383333,-115.75,Nevada
LAZB09,102010,UWBM,Passerina amoena,,36.391969,-115.795704,Nevada
LAZB10,95154,UWBM,Passerina amoena,,39.454562,-119.953003,Nevada
LAZB11,59034,UWBM,Passerina amoena,,46,-117.37,Washington
LAZB12,120107,UWBM,Passerina amoena,,47.130068,-120.478639,Washington
LAZB13,121968,UWBM,Passerina amoena,,46.441786,-117.613086,Washington
LAZB14,122621,UWBM,Passerina amoena,,47.925582,-119.180284,Washington
LAZB15,122302,UWBM,Passerina amoena,,48.728614,-118.15539,Washington
LAZB16,122207,UWBM,Passerina amoena,,48.813584,-117.60262,Washington
LAZB17,61820,UWBM,Passerina amoena,,47.0182,-120.7594,Washington
LAZB18,124572,UWBM,Passerina amoena,,47.357179,-119.345961,Washington
LAZB19,62076,UWBM,Passerina amoena,,48.7,-119.7,Washington
LAZB20,121363,UWBM,Passerina amoena,,48.728614,-118.15539,Washington
,B-45646,LSUMZ,Passerina cyanea,,31.463667,-92.366333,Louisiana
,B-51555,LSUMZ,Passerina cyanea,,31.042441,-92.624703,Louisiana
,B-51556,LSUMZ,Passerina cyanea,,31.042441,-92.624703,Louisiana
,B-51557,LSUMZ,Passerina cyanea,,31.042441,-92.624703,Louisiana
,B-51558,LSUMZ,Passerina cyanea,,31.042441,-92.624703,Louisiana
,B-51559,LSUMZ,Passerina cyanea,,31.042441,-92.624703,Louisiana
,B-52463,LSUMZ,Passerina cyanea,,30.31398,-91.094464,Louisiana
